show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s1,Movie,The Last Horizon,Sarah Johnson,United States,"January 15, 2021",2020,PG-13,118 min,"Dramas, Thrillers"
s2,TV Show,Criminal Minds Unraveled,Michael Chen,United States,"March 8, 2020",2019,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas"
s3,Movie,Echoes of Silence,,United States,"July 22, 2021",2021,R,96 min,"Dramas, Independent Movies"
s4,Movie,Steel Thunder,James Wilson,United States,"November 3, 2019",2019,PG-13,132 min,"Action & Adventure"
s5,TV Show,The Arrangement,Maria Garcia,United States,"February 14, 2022",2021,TV-14,2 Seasons,"TV Dramas, Romantic TV Shows"
s6,Movie,Mumbai Dreams,Raj Patel,India,"May 1, 2020",2019,TV-14,141 min,"Dramas, International Movies"
s7,Movie,Dark Corners,David Park,United States,"October 31, 2021",2021,R,89 min,"Horror Movies, Thrillers"
s8,TV Show,The Cold Case Unit,,United States,"June 18, 2019",2019,TV-MA,4 Seasons,"Crime TV Shows, TV Mysteries"
s9,Movie,Love in Transit,Jennifer Lee,United Kingdom,"August 5, 2022",2022,TV-PG,102 min,"Comedies, Romantic Movies"
s10,Movie,Quantum Drift,Robert Martinez,United States,"December 12, 2020",2020,PG-13,127 min,"Sci-Fi & Fantasy, Thrillers"
s11,TV Show,Dynasty Rising,Amanda Taylor,United States,"January 28, 2021",2020,TV-MA,2 Seasons,"TV Dramas"
s12,Movie,The Sacred River,Priya Sharma,India,"April 9, 2021",2020,TV-14,135 min,"Dramas, International Movies"
s13,Movie,Burning Bridges,Christopher Brown,United States,"September 17, 2019",2019,R,108 min,"Dramas, Thrillers"
s14,TV Show,Neighbors from Here,Lisa Anderson,United States,"March 22, 2022",2022,TV-14,1 Season,"TV Comedies"
s15,Movie,Cherry Blossom Promise,Yuki Tanaka,Japan,"July 7, 2020",2019,TV-PG,112 min,"Dramas, International Movies, Romantic Movies"
s16,Movie,Glass Houses,Daniel Kim,United States,"November 25, 2021",2021,TV-MA,94 min,"Dramas, Independent Movies"
s17,TV Show,Seoul Searching,Min-jun Kim,South Korea,"February 3, 2020",2019,TV-14,2 Seasons,"TV Dramas, International TV Shows, Romantic TV Shows"
s18,Movie,Point of Impact,,Canada,"May 30, 2022",2022,R,105 min,"Action & Adventure, Thrillers"
s19,Movie,The Backup Plan B,Rachel Thompson,United States,"August 14, 2019",2019,PG-13,98 min,"Comedies, Romantic Movies"
s20,TV Show,True Crime Files,Kevin Nguyen,United States,"October 5, 2021",2021,TV-MA,3 Seasons,"Docuseries, Crime TV Shows"
s21,Movie,Paper Walls,Emily Davis,United States,"January 2, 2023",2022,TV-14,91 min,"Dramas"
s22,Movie,The Tiger's Eye,Vikram Singh,India,"June 12, 2020",2020,TV-MA,148 min,"Action & Adventure, International Movies, Thrillers"
s23,TV Show,The Daily Grind,,United States,"April 18, 2021",2021,TV-14,2 Seasons,"TV Comedies"
s24,Movie,Threads of Time,Andrew Foster,United Kingdom,"December 1, 2019",2019,PG-13,121 min,"Sci-Fi & Fantasy, Dramas"
s25,Movie,Midnight Garden,Nicole Moore,United States,"March 15, 2022",2022,R,88 min,"Horror Movies, Thrillers"
s26,TV Show,Blade of the Spirit,Kenji Watanabe,Japan,"September 9, 2020",2020,TV-MA,2 Seasons,"Anime Series, TV Action & Adventure, International TV Shows"
s27,Movie,The Distance Between,Steven Clark,United States,"July 4, 2021",2021,TV-14,104 min,"Dramas, Romantic Movies"
s28,Movie,Monsoon Wedding Day,Neha Kapoor,India,"November 18, 2022",2022,TV-PG,132 min,"Comedies, International Movies, Romantic Movies"
s29,TV Show,Power Players,Jennifer White,United States,"February 22, 2020",2020,TV-MA,4 Seasons,"TV Dramas"
s30,Movie,Under the Same Sky,,France,"May 11, 2021",2021,TV-14,97 min,"Dramas, International Movies"
s31,Movie,Crossfire,Thomas Rodriguez,United States,"August 28, 2019",2019,R,110 min,"Action & Adventure, Thrillers"
s32,TV Show,The Heirs of Autumn,Soo-yeon Park,South Korea,"January 7, 2023",2022,TV-14,1 Season,"TV Dramas, International TV Shows"
s33,Movie,Heart Strings,Megan Harris,United States,"October 14, 2021",2021,PG,99 min,"Romantic Movies, Comedies"
s34,Movie,Inside the Machine,Patrick O'Brien,United States,"April 3, 2020",2020,TV-PG,86 min,"Documentaries"
s35,TV Show,Detective Files,Samantha Lewis,United Kingdom,"June 25, 2022",2022,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries"
s36,Movie,The Colony,Brian Walker,United States,"December 20, 2021",2021,PG-13,115 min,"Sci-Fi & Fantasy, Action & Adventure"
s37,Movie,Delhi Nights,Arjun Reddy,India,"March 30, 2020",2019,TV-MA,144 min,"Dramas, International Movies"
s38,TV Show,Work in Progress,,United States,"September 1, 2019",2019,TV-14,3 Seasons,"TV Comedies"
s39,Movie,Broken Lines,Christina Hall,Canada,"July 19, 2021",2021,R,92 min,"Dramas, Thrillers"
s40,Movie,The Samurai's Daughter,Akira Suzuki,Japan,"November 8, 2020",2020,TV-14,125 min,"Action & Adventure, International Movies, Dramas"
s41,TV Show,Planet Unknown,Matthew Young,United States,"February 9, 2022",2021,TV-PG,2 Seasons,"Docuseries"
s42,Movie,Still Water,Laura Allen,United States,"May 25, 2021",2021,TV-MA,101 min,"Dramas, Thrillers"
s43,Movie,Colors of Holi,Sanjay Gupta,India,"August 15, 2022",2022,TV-PG,128 min,"Comedies, International Movies"
s44,TV Show,Rising Tides,Jonathan King,United States,"October 22, 2019",2019,TV-MA,5 Seasons,"TV Dramas"
s45,Movie,The Silent Witness,,United States,"January 18, 2023",2022,R,107 min,"Thrillers, Crime Movies"
s46,Movie,Summer Romance,Rebecca Wright,United Kingdom,"April 14, 2020",2020,PG,96 min,"Romantic Movies, Comedies"
s47,TV Show,Forensic Evidence,Eric Scott,United States,"June 6, 2021",2021,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s48,Movie,Dark Pursuit,Michelle Green,United States,"December 28, 2022",2022,R,114 min,"Action & Adventure, Thrillers"
